id	number	name	function	floor	coordX	coordY	radius	doorsX	doorsY	navigationPointConnection	aliases	
472	322	Sala 322	STAFF	21	2212	861	60	2202	748	271	322 NBM, NBM 322, nanoin¿ynieria 322, biomechanika 322, mechatronika 322	6
473	323	Sala 323	LABORATORY	21	2395	806	80	2327	680	268	323 NBM, NBM 323, nanoin¿ynieria 323, biomechanika 323, mechatronika 323	6
474	324	Sala 324	STAFF	21	2550	800	50	2530	680	268	324 NBM, NBM 324, nanoin¿ynieria 324, biomechanika 324, mechatronika 324	6
475	325	Sala 325	STAFF	21	2670	783	40	2684	680	268	325 NBM, NBM 325, nanoin¿ynieria 325, biomechanika 325, mechatronika 325	6
476	326	Sala 326	LABORATORY	21	2835	775	90	2836	680	267	326 NBM, NBM 326, nanoin¿ynieria 326, biomechanika 326, mechatronika 326	6
477	327	Sala 327	STAFF	21	2997	775	45	3009	680	267	327 NBM, NBM 327, nanoin¿ynieria 327, biomechanika 327, mechatronika 327	6
478	328	Sala 328	STAFF	21	3104	775	40	3092	680	267	328 NBM, NBM 328, nanoin¿ynieria 328, biomechanika 328, mechatronika 328	6
479	329	Sala 329	STAFF	21	3209	775	40	3180	680	267	329 NBM, NBM 329, nanoin¿ynieria 329, biomechanika 329, mechatronika 329	6
480	330	Sala 330	STAFF	21	3180	566	45	3142	624	267	330 NBM, NBM 330, nanoin¿ynieria 330, biomechanika 330, mechatronika 330	6
481	331	Sala 331	LABORATORY	21	2583	526	60	2658	581	266	331 NBM, NBM 331, nanoin¿ynieria 331, biomechanika 331, mechatronika 331	6
482	332	Sala 332	LABORATORY	21	2820	404	85	2778	311	266	332 NBM, NBM 332, nanoin¿ynieria 332, biomechanika 332, mechatronika 332	6
483	333	Sala 333	LABORATORY	21	3141	409	85	3047	311	266	333 NBM, NBM 333, nanoin¿ynieria 333, biomechanika 333, mechatronika 333	6
484	334	Sala 334	STAFF	21	3190	187	95	3067	251	266	334 NBM, NBM 334, nanoin¿ynieria 334, biomechanika 334, mechatronika 334	6
485	335	Sala 335	STAFF	21	2960	137	50	2910	205	266	335 NBM, NBM 335, nanoin¿ynieria 335, biomechanika 335, mechatronika 335	6
486	336	Sala 336	STAFF	21	2803	137	40	2800	205	266	336 NBM, NBM 336, nanoin¿ynieria 336, biomechanika 336, mechatronika 336	6
487	337	Sala 337	STAFF	21	2678	137	50	2628	205	265	337 NBM, NBM 337, nanoin¿ynieria 337, biomechanika 337, mechatronika 337	6
488	338	Sala 338	STAFF	21	2532	137	50	2561	205	265	338 NBM, NBM 338, nanoin¿ynieria 338, biomechanika 338, mechatronika 338	6
489	339	Sala 339	STAFF	21	2372	137	50	2409	205	264	339 NBM, NBM 339, nanoin¿ynieria 339, biomechanika 339, mechatronika 339	6
490	340	Sala 340	STAFF	21	2216	137	50	2254	205	263	340 NBM, NBM 340, nanoin¿ynieria 340, biomechanika 340, mechatronika 340	6
491	341	Sala 341	STAFF	21	2034	137	45	2098	200	262	341 NBM, NBM 341, nanoin¿ynieria 341, biomechanika 341, mechatronika 341	6
492	3T1	Pomieszczenie techniczne 3T1	TECH	21	862	555	40	1039	622	276	3T1 NBM, NBM 3T1, nanoin¿ynieria 3T1, biomechanika 3T1, mechatronika 3T1	6
493	3T3	Pomieszczenie techniczne 3T3	TECH	21	1620	659	15	1583	688	273	3T3 NBM, NBM 3T3, nanoin¿ynieria 3T3, biomechanika 3T3, mechatronika 3T3	6
494	3T4	Pomieszczenie techniczne 3T4	TECH	21	1771	825	45	1779	765	271	3T4 NBM, NBM 3T4, nanoin¿ynieria 3T4, biomechanika 3T4, mechatronika 3T4	6
495	3S6	Pomieszczenie socjalne 3S6	STAFF	21	3056	560	35	3063	624	267	3S6 NBM, NBM 3S6, nanoin¿ynieria 3S6, biomechanika 3S6, mechatronika 3S6	6
496		toaleta damska	RESTROOM	21	1630	380	40	1638	317	262	toaleta damska, wc damskie, ³azienka damska	6
497		toaleta mêska	RESTROOM	21	1810	365	30	1798	317	262	toaleta mêska, wc mêskie, ³azienka mêska	6
498		toaleta dla niepe³nosprawnych	RESTROOM	21	1740	355	25	1746	317	262	toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych	6
499	401	Sala 401	LECTURE	22	2060	505	130	2194	327	289	401 NBM, NBM 401, nanoin¿ynieria 401, biomechanika 401, mechatronika 401	6
500	402	Sala 402	LECTURE	22	1420	505	130	1294	327	287	402 NBM, NBM 402, nanoin¿ynieria 402, biomechanika 402, mechatronika 402	6
501	403	Sala 403	STAFF	22	1466	140	45	1460	200	287	403 NBM, NBM 403, nanoin¿ynieria 403, biomechanika 403, mechatronika 403	6
502	404	Sala 404	STAFF	22	1351	144	45	1329	210	287	404 NBM, NBM 404, nanoin¿ynieria 404, biomechanika 404, mechatronika 404	6
503	405	Sala 405	STAFF	22	1244	144	40	1219	214	287	405 NBM, NBM 405, nanoin¿ynieria 405, biomechanika 405, mechatronika 405	6
504	406	Sala 406	STAFF	22	1138	144	40	1162	214	286	406 NBM, NBM 406, nanoin¿ynieria 406, biomechanika 406, mechatronika 406	6
505	407	Sala 407	STAFF	22	1025	144	45	1049	214	285	407 NBM, NBM 407, nanoin¿ynieria 407, biomechanika 407, mechatronika 407	6
506	408	Sala 408	STAFF	22	915	144	35	915	214	285	408 NBM, NBM 408, nanoin¿ynieria 408, biomechanika 408, mechatronika 408	6
507	409	Sala 409	STAFF	22	797	144	45	768	214	285	409 NBM, NBM 409, nanoin¿ynieria 409, biomechanika 409, mechatronika 409	6
508	410	Sala 410	STAFF	22	655	144	50	625	214	285	410 NBM, NBM 410, nanoin¿ynieria 410, biomechanika 410, mechatronika 410	6
509	411	Sala 411	STAFF	22	511	196	55	581	256	304	411 NBM, NBM 411, nanoin¿ynieria 411, biomechanika 411, mechatronika 411	6
510	412	Sala 412	LABORATORY	22	570	455	50	671	428	303	412 NBM, NBM 412, nanoin¿ynieria 412, biomechanika 412, mechatronika 412	6
511	413	Sala 413	STAFF	22	285	626	55	388	657	303	413 NBM, NBM 413, nanoin¿ynieria 413, biomechanika 413, mechatronika 413	6
512	414	Sala 414	LABORATORY	22	433	782	80	511	688	303	414 NBM, NBM 414, nanoin¿ynieria 414, biomechanika 414, mechatronika 414	6
513	415	Sala 415	LABORATORY	22	636	782	60	635	688	303	415 NBM, NBM 415, nanoin¿ynieria 415, biomechanika 415, mechatronika 415	6
514	416	Sala 416	LABORATORY	22	902	782	75	1005	688	301	416 NBM, NBM 416, nanoin¿ynieria 416, biomechanika 416, mechatronika 416	6
515	417	Sala 417	LABORATORY	22	1117	782	35	1115	688	301	417 NBM, NBM 417, nanoin¿ynieria 417, biomechanika 417, mechatronika 417	6
516	418	Sala 418	STAFF	22	1264	817	45	1305	757	299	418 NBM, NBM 418, nanoin¿ynieria 418, biomechanika 418, mechatronika 418	6
517	419	Sala 419	STAFF	22	1430	817	45	1443	757	299	419 NBM, NBM 419, nanoin¿ynieria 419, biomechanika 419, mechatronika 419	6
518	420	Sala 420	STAFF	22	1578	817	45	1523	757	299	420 NBM, NBM 420, nanoin¿ynieria 420, biomechanika 420, mechatronika 420	6
519	421	Sala 421	STAFF	22	1965	817	45	1965	757	298	421 NBM, NBM 421, nanoin¿ynieria 421, biomechanika 421, mechatronika 421	6
520	422	Sala 422	STAFF	22	2180	817	45	2221	757	298	422 NBM, NBM 422, nanoin¿ynieria 422, biomechanika 422, mechatronika 422	6
521	423	Sala 423	STAFF	22	2423	790	75	2353	688	295	423 NBM, NBM 423, nanoin¿ynieria 423, biomechanika 423, mechatronika 423	6
522	424	Sala 424	LABORATORY	22	2700	790	75	2800	688	294	424 NBM, NBM 424, nanoin¿ynieria 424, biomechanika 424, mechatronika 424	6
523	425	Sala 425	STAFF	22	3047	790	30	3038	688	294	425 NBM, NBM 425, nanoin¿ynieria 425, biomechanika 425, mechatronika 425	6
524	426	Sala 426	STAFF	22	3195	658	50	3095	646	294	426 NBM, NBM 426, nanoin¿ynieria 426, biomechanika 426, mechatronika 426	6
525	427	Sala 427	STAFF	22	3191	533	10	3095	539	294	427 NBM, NBM 427, nanoin¿ynieria 427, biomechanika 427, mechatronika 427	6
526	428	Sala 428	LABORATORY	22	2605	540	65	2619	633	295	428 NBM, NBM 428, nanoin¿ynieria 428, biomechanika 428, mechatronika 428	6
527	429	Sala 429	TECH	22	2777	415	30	2734	428	293	429 NBM, NBM 429, nanoin¿ynieria 429, biomechanika 429, mechatronika 429	6
528	430	Sala 430	TECH	22	2629	381	40	2685	401	293	430 NBM, NBM 430, nanoin¿ynieria 430, biomechanika 430, mechatronika 430	6
529	431	Sala 431	LABORATORY	22	3061	417	85	2909	320	293	431 NBM, NBM 431, nanoin¿ynieria 431, biomechanika 431, mechatronika 431	6
530	432	Sala 432	LABORATORY	22	3219	196	80	3088	267	293	432 NBM, NBM 432, nanoin¿ynieria 432, biomechanika 432, mechatronika 432	6
531	433	Sala 433	STAFF	22	3033	146	50	3002	213	293	433 NBM, NBM 433, nanoin¿ynieria 433, biomechanika 433, mechatronika 433	6
532	434	Sala 434	STAFF	22	2904	146	45	2925	213	293	434 NBM, NBM 434, nanoin¿ynieria 434, biomechanika 434, mechatronika 434	6
533	435	Sala 435	STAFF	22	2791	146	45	2810	213	293	435 NBM, NBM 435, nanoin¿ynieria 435, biomechanika 435, mechatronika 435	6
534	436	Sala 436	STAFF	22	2684	146	35	2696	213	292	436 NBM, NBM 436, nanoin¿ynieria 436, biomechanika 436, mechatronika 436	6
535	437	Sala 437	STAFF	22	2578	146	40	2603	213	292	437 NBM, NBM 437, nanoin¿ynieria 437, biomechanika 437, mechatronika 437	6
536	438	Sala 438	STAFF	22	2473	146	40	2495	213	292	438 NBM, NBM 438, nanoin¿ynieria 438, biomechanika 438, mechatronika 438	6
537	439	Sala 439	STAFF	22	2362	146	40	2337	213	291	439 NBM, NBM 439, nanoin¿ynieria 439, biomechanika 439, mechatronika 439	6
538	440	Sala 440	STAFF	22	2239	146	45	2209	213	289	440 NBM, NBM 440, nanoin¿ynieria 440, biomechanika 440, mechatronika 440	6
539	441	Sala 441	STAFF	22	2114	142	30	2125	207	289	441 NBM, NBM 441, nanoin¿ynieria 441, biomechanika 441, mechatronika 441	6
540	442	Sala 442	STAFF	22	1998	138	30	2004	201	289	442 NBM, NBM 442, nanoin¿ynieria 442, biomechanika 442, mechatronika 442	6
541	4T1	Pomieszczenie techniczne 4T1	TECH	22	904	565	45	1080	630	301	4T1 NBM, NBM 4T1, nanoin¿ynieria 4T1, biomechanika 4T1, mechatronika 4T1	6
542	4T3	Pomieszczenie techniczne 4T3	TECH	22	1665	654	15	1613	695	299	4T3 NBM, NBM 4T3, nanoin¿ynieria 4T3, biomechanika 4T3, mechatronika 4T3	6
543		toaleta damska	RESTROOM	22	1653	387	40	1666	327	289	toaleta damska, wc damskie, ³azienka damska	6
544		toaleta mêska	RESTROOM	22	1839	387	30	1828	327	289	toaleta mêska, wc mêskie, ³azienka mêska	6
545		toaleta dla niepe³nosprawnych	RESTROOM	22	1770	365	25	1774	327	289	toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych	6
